latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group
Aeschynanthus lobianus,Hanging,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Hanging; Flower; Tertiary,32,14,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Wisząca
Adiantum raddianum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Ground cover; Table top,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Aechmea fatsiata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Agave angustilolia Marginata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus
Aechmea ramosa,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Primary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Aechmea fasciata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Agave filifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus
Adiantum hispidulum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Agave attenuata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus
Aglaonema,Aglaonema,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,28,18,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Agave verschaffeltii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus
Agave striata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus
