latin,category,ideallight,toleratedlight,watering,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean,watering_group,toxicity_any
Aeschynanthus lobianus,Hanging,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,32,14,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,0
Adiantum raddianum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Aechmea fatsiata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Agave angustilolia Marginata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,5,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Aechmea ramosa,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Aechmea fasciata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Agave filifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Adiantum hispidulum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Agave attenuata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,5,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Aglaonema,Aglaonema,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Agave verschaffeltii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Agave striata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Alocasia nebula Imperialis,Other,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,15,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,1
Allamanda nerifolia,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,10,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Umiarkowanie,1
Aspidistra elatior,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Anthurium superbum,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,18,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Caryota mitis,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,25,10,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)",Toleruje chłód,Wrażliwa na upał,0,0,Palma / drzewko ozdobne,Rozproszone światło,Często,1
Codiaeum petra,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,10,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
Cereus peruvianus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,35,5,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Umiarkowanie,0
Blechnum gibbum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Chamaedorea elegans,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
Calathea veitchiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Calathea pictura Argentea,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Bougainvillea,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,32,10,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić),Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Umiarkowanie,0
 Chamaedorea seifrizii,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
 Alocasia X amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,15,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,1
Anthurium X,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,22,18,toksyczna,toksyczna,Lubi ciepło,Wrażliwa na upał,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Anthurium hookeri,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Cissus rhombifolia,Hanging,Bright light,Diffused,Keep moist between watering. Can dry between watering,28,10,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Cereus peruvianus Monstrosus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,35,5,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Umiarkowanie,0
Chamaedorea erumpens,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
Calathea stromata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Codiaeum,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,10,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
Calathea rufibarba,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Alocasias X Amazonica var,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,15,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,1
Crassula argentea,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Alocasias X Amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,1
Anthurium schlechtendalii,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,18,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,1
Chamaedorea metallica,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
Aspidistra elatior Minor,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Calathea ornata Rosea lineata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Asplenium nidus,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Chlorophytum comosum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,5,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło,Umiarkowanie,0
Didymochlaena truncatula,Fern,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Bezpośrednie światło,Często,0
Dieffenbachia,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,28,12,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Dracaena marginata,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,28,10,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie),Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Dracaena fragrans Massangeana,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,30,10,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Dracaena deremensis,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,30,10,toksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Cryptanthus Rose Eliane,Bromeliad,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
